ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Pitch (Deg),Roll (Deg),Heading (Deg),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.2004381567,2.1045036316,8.3141279221,0.1047655698,0.1261088252,1.9265693484,-4.1992023288,100.6240345369,0,25.053132534,2019-07-25 11:50:46:548
3.9424788952,2.0278716087,8.9271841049,-0.0305560492,0.1207812048,2.0469736576,-7.2585335036,101.9606204194,0,25.0560617447,2019-07-25 11:50:46:551
-2.8083205223,0.9430500269,10.7064828873,0.125543303,0.0107657944,1.828541185,-3.8096557774,103.3934424134,0,25.0599331856,2019-07-25 11:50:46:555
-3.052585125,-1.2529354095,13.0341796875,-0.1744018644,-0.0422440516,1.9281676445,-0.3894976973,97.8667054405,0,25.063131094,2019-07-25 11:50:46:558
5.8989892006,5.4811005592,8.8553409576,0.2227724265,0.1785859068,1.8538473406,-0.4195261312,97.8292472378,0,25.0660657883,2019-07-25 11:50:46:561
-7.6720571518,1.7955809832,13.4412870407,0.0488255341,-0.051301013,1.9739852006,-0.4081578956,97.818427565,0,25.0699334145,2019-07-25 11:50:46:565
-2.5880036354,-0.7380642295,14.2842388153,-0.2074331346,-0.2644059234,2.0826688046,3.0421372234,92.3584961301,0,25.0731341839,2019-07-25 11:50:46:568
3.9328997135,4.4106473923,9.8132410049,0.2302310918,0.0904137531,1.9564040763,-0.1969015419,93.5891178939,0,25.0760867596,2019-07-25 11:50:46:571
-4.2619338036,0.8281020522,10.2945861816,-0.0159050857,-0.0981840915,2.0296588495,2.9784859455,95.2287959468,0,25.079939127,2019-07-25 11:50:46:575
-6.2016806602,0.8137335777,12.2079906464,-0.0457397751,-0.2231168565,1.9849068242,6.0203964435,96.8561701644,0,25.0831394196,2019-07-25 11:50:46:578
4.1268744469,5.3422050476,7.9285731316,0.2747167344,-0.1162980144,2.0387158609,2.8695914259,97.7931772931,0,25.0861496925,2019-07-25 11:50:46:581
-2.0875008106,2.9833767414,6.7790932655,0.2083878446,-0.1072410529,2.0387158609,6.0927596245,98.9178104004,0,25.0899469852,2019-07-25 11:50:46:585
-1.2828650475,1.9129236937,8.1776275635,-0.006315364,-0.0952538986,2.1332811159,9.4096707134,100.2772668451,0,25.0931401253,2019-07-25 11:50:46:588
-0.3560968935,1.4100261927,6.9491205215,0.0368383797,0.1980317432,1.9841077427,12.7302075614,101.6362570354,0,25.0960719585,2019-07-25 11:50:46:591
0.1779322922,3.1653778553,8.7739200592,-0.0020532659,0.1895075471,2.0261959411,8.8577680212,102.8072171933,0,25.0999317169,2019-07-25 11:50:46:595
-2.492213726,3.4431686401,10.6825351715,0.1023681423,0.2643606497,2.0778739163,11.9704625619,103.9753754854,0,25.1031322479,2019-07-25 11:50:46:598
3.2647645473,1.5130004883,12.1361484528,-0.0659847387,0.2025602156,2.0405804731,8.3988131666,105.3646134789,0,25.1060667038,2019-07-25 11:50:46:601
0.6161714792,0.8664180636,13.4269189835,-0.0329534789,0.0805576519,1.9875706511,4.6658860599,106.7906384916,0,25.1099357605,2019-07-25 11:50:46:605
-0.1764906645,3.1557986736,12.90965271,-0.0835658921,-0.1519930782,2.0797385285,8.1842015577,107.9951001198,0,25.1131343842,2019-07-25 11:50:46:608
-0.2722806334,4.226252079,11.6643829346,0.1330019766,-0.2220513257,2.0568297505,11.6302536056,109.0150171633,0,25.116060257,2019-07-25 11:50:46:611
4.416639328,3.043245554,10.6250610352,0.0664066874,-0.1898192035,2.1274208299,8.29034392,110.1006251784,0,25.1199314594,2019-07-25 11:50:46:615
-3.5027980804,1.9272921085,8.1345214844,0.187077346,-0.1559888019,2.0123441745,11.2866560084,111.1983747417,0,25.1231353283,2019-07-25 11:50:46:618
1.245990634,2.3415839672,8.443444252,-0.1115359162,-0.2084658918,2.1466002503,7.6632899675,112.2828524116,0,25.1260807514,2019-07-25 11:50:46:621
0.5634869933,5.7205758095,6.1875901222,0.3231981007,0.0456617237,2.0573625159,4.0041971061,112.7120720968,0,25.1299402714,2019-07-25 11:50:46:625
