,Left,Middle,Right
404,Z Gyro 42.0 Hz,Y Gyro 93.0 Hz,Z Gyro 24.0 Hz
405,Y Gyro 9.0 Hz,Y Gyro 26.0 Hz,Y Gyro 39.0 Hz
406,X Gyro 32.0 Hz,Y Accel 21.0 Hz,X Gyro 37.0 Hz
407,X Accel 90.0 Hz,X Accel 72.0 Hz,X Accel 50.0 Hz
408,Y Accel 91.0 Hz,X Gyro 25.0 Hz,Y Accel 15.0 Hz
409,Y Gyro 27.0 Hz,Y Accel 3.0 Hz,Y Gyro 27.0 Hz
410,Z Gyro 69.0 Hz,Y Gyro 50.0 Hz,X Accel 89.0 Hz
411,X Gyro 77.0 Hz,X Accel 64.0 Hz,Z Gyro 75.0 Hz
412,X Accel 97.0 Hz,Z Gyro 52.0 Hz,X Gyro 92.0 Hz
413,X Gyro 3.0 Hz,Z Accel 73.0 Hz,Y Gyro 35.0 Hz
414,Z Gyro 34.0 Hz,Y Gyro 92.0 Hz,Z Gyro 25.0 Hz
415,Y Gyro 40.0 Hz,Z Accel 64.0 Hz,X Gyro 26.0 Hz
416,X Gyro 72.0 Hz,Z Gyro 49.0 Hz,Y Gyro 32.0 Hz
417,X Accel 14.0 Hz,X Accel 25.0 Hz,Y Accel 3.0 Hz
418,Z Gyro 54.0 Hz,X Accel 67.0 Hz,X Accel 48.0 Hz
419,X Accel 15.0 Hz,X Gyro 23.0 Hz,Y Gyro 61.0 Hz
420,Y Gyro 12.0 Hz,Z Accel 62.0 Hz,X Gyro 11.0 Hz
421,X Gyro 75.0 Hz,Y Accel 22.0 Hz,Z Gyro 36.0 Hz
422,X Accel 13.0 Hz,Z Accel 63.0 Hz,X Accel 87.0 Hz
423,Y Gyro 24.0 Hz,Y Accel 26.0 Hz,Y Gyro 30.0 Hz
424,Z Gyro 16.0 Hz,Z Gyro 35.0 Hz,X Gyro 34.0 Hz
425,X Gyro 30.0 Hz,X Accel 71.0 Hz,X Accel 14.0 Hz
426,Y Gyro 47.0 Hz,Y Gyro 87.0 Hz,Y Gyro 64.0 Hz
427,Y Accel 14.0 Hz,Z Gyro 72.0 Hz,Z Gyro 68.0 Hz
428,X Gyro 78.0 Hz,Z Accel 65.0 Hz,Y Accel 14.0 Hz
429,Z Gyro 32.0 Hz,Y Gyro 91.0 Hz,X Gyro 20.0 Hz
430,Y Gyro 46.0 Hz,Z Gyro 50.0 Hz,X Accel 17.0 Hz
431,Y Accel 94.0 Hz,X Gyro 22.0 Hz,Y Gyro 23.0 Hz
432,X Accel 3.0 Hz,X Gyro 39.0 Hz,Y Gyro 0.0 Hz
433,Y Gyro 86.0 Hz,X Gyro 35.0 Hz,Z Gyro 42.0 Hz
434,X Accel 89.0 Hz,Z Accel 74.0 Hz,X Gyro 64.0 Hz
435,Z Gyro 23.0 Hz,Y Accel 25.0 Hz,Y Accel 17.0 Hz
436,X Gyro 11.0 Hz,X Accel 66.0 Hz,Y Gyro 3.0 Hz
437,Y Accel 11.0 Hz,Z Gyro 5.0 Hz,X Gyro 31.0 Hz
438,X Accel 92.0 Hz,X Accel 68.0 Hz,Y Gyro 95.0 Hz
439,Z Gyro 68.0 Hz,Y Accel 23.0 Hz,Z Gyro 70.0 Hz
440,Y Gyro 30.0 Hz,Z Accel 72.0 Hz,Y Accel 13.0 Hz
441,X Accel 94.0 Hz,Z Gyro 34.0 Hz,X Gyro 65.0 Hz
442,X Gyro 13.0 Hz,X Accel 0.0 Hz,X Gyro 2.0 Hz
443,Y Accel 3.0 Hz,Y Gyro 49.0 Hz,Y Gyro 58.0 Hz
444,Y Gyro 44.0 Hz,Y Gyro 88.0 Hz,Z Gyro 28.0 Hz
445,Z Gyro 50.0 Hz,Z Gyro 87.0 Hz,X Gyro 96.0 Hz
446,Y Accel 93.0 Hz,Y Gyro 86.0 Hz,Y Gyro 28.0 Hz
447,X Accel 96.0 Hz,Y Accel 24.0 Hz,X Gyro 66.0 Hz
448,Y Gyro 10.0 Hz,Y Accel 2.0 Hz,X Accel 15.0 Hz
449,X Gyro 74.0 Hz,Y Accel 40.0 Hz,Z Gyro 71.0 Hz
450,X Accel 95.0 Hz,Y Gyro 83.0 Hz,X Gyro 15.0 Hz
451,Z Gyro 38.0 Hz,Y Accel 27.0 Hz,Y Gyro 96.0 Hz
452,X Accel 88.0 Hz,Z Gyro 48.0 Hz,X Gyro 39.0 Hz
453,Y Gyro 23.0 Hz,Z Accel 25.0 Hz,Y Gyro 43.0 Hz
