Vector,Naive Bayes,k Nearest,Decision Tree,Random Forest,AdaBoost,Support Vector Machine
Left FreqFeats X Accel,0.2467134038623467,0.3454899390514418,0.31399303664479156,0.34131692612983755,0.3526927484467913,0.36932666051282154
Left FreqFeats Y Accel,0.2471700074071641,0.3385736119002227,0.31330735515219493,0.3417174489615672,0.35120672393370256,0.3666973378492034
Left FreqFeats Z Accel,0.35440796529139834,0.3388014152863409,0.3066195667111292,0.3361148680722468,0.3437757353199501,0.39264868783059964
Left FreqFeats X Gyro,0.24962847344606015,0.23933918226411502,0.22030406139073305,0.24036812935689703,0.27723775035945086,0.2822110572799449
Left FreqFeats Y Gyro,0.24093949247281468,0.2384250601045696,0.219161498564239,0.23750976142656785,0.26420439328332146,0.2762085581586571
Left FreqFeats Z Gyro,0.1944093967221869,0.19223736390581908,0.1746313861462664,0.19046515127821378,0.2411108393135603,0.24619849729180157
Left FFTs X Accel,0.3869903366983395,0.4846807656063131,0.4250600392074776,0.5073736823606059,0.41317009466561627,0.51863454902005
Left FFTs Y Accel,0.37498574696911685,0.49617036706232004,0.439522359651561,0.5251511867067794,0.4354637794903747,0.5298382238100864
Left FFTs Z Accel,0.47696383398605596,0.554476236042937,0.4903967171213338,0.5845432109901203,0.4725621679705596,0.5736259857631463
Left FFTs X Gyro,0.33377166816100856,0.40391046955995435,0.3669819409319105,0.44095145374378786,0.3610382187118398,0.4262612155298475
Left FFTs Y Gyro,0.3183956504112667,0.3789873640283731,0.35606518958042577,0.427118129479451,0.3458895468132609,0.4068250652681784
Left FFTs Z Gyro,0.3329706388380834,0.40636802052893983,0.3921344675624874,0.4813075728081094,0.3876185975540508,0.4016235954698157
Left PSDLogs X Accel,0.405681195198955,0.426546423212317,0.3749283916943679,0.46507406919007,0.40802562065025183,0.46684572623951526
Left PSDLogs Y Accel,0.4152855238718046,0.43763509332324146,0.3827026295677716,0.4697618742984805,0.421972576988835,0.4734764862165143
Left PSDLogs Z Accel,0.5302393022199758,0.5248657665973665,0.4585570393305217,0.5572190763970626,0.48262269167487376,0.5704236986112671
Left PSDLogs X Gyro,0.312049803987123,0.3822451763151801,0.338173350517039,0.42454511629639835,0.3428035389021547,0.4000801339793073
Left PSDLogs Y Gyro,0.30467641575613125,0.3656107903736606,0.3350289088559322,0.40539606921915616,0.3321146726394587,0.38093007378894994
Left PSDLogs Z Gyro,0.292500479186163,0.29170005446300024,0.2640913658088377,0.3311993412803887,0.28518400503549896,0.3223961889952712
Left AllFeats X Accel,0.293814715664085,0.398593472185388,0.34823451150218365,0.4283750106826242,0.34217516366270456,0.42237275666934815
Left AllFeats Y Accel,0.28398294309686783,0.37549983651295615,0.32771217325672236,0.40996870624311343,0.3364006966950126,0.40408184908176825
Left AllFeats Z Accel,0.4402080738252259,0.5024004734833166,0.4434082857292723,0.5382979307491432,0.44466707877493705,0.5415570666192138
Left AllFeats X Gyro,0.25671698080526484,0.28649835589715983,0.26540475257898566,0.32268200127750296,0.29735899385448855,0.33382840249546103
Left AllFeats Y Gyro,0.2631757566606877,0.29741690470739746,0.265976638591995,0.32468319380968275,0.2851833187330661,0.33011264674003893
Left AllFeats Z Gyro,0.2600906311384238,0.29787385140343126,0.26346140553757824,0.33611481905064433,0.303303941614618,0.34268833813663335
Left Combined X Accel,0.3945356600293051,0.5056586452618742,0.4423229964748566,0.5352118901569688,0.41974359741107115,0.5313818813870042
Left Combined Y Accel,0.39979332492449443,0.49691384502408675,0.4391219512035702,0.5263517584293871,0.42963298670158306,0.5370413763566525
Left Combined Z Accel,0.4977715596598619,0.5440155163175756,0.47084716355289624,0.5698525315817589,0.4826220217129749,0.5759115526105556
Left Combined X Gyro,0.30073182716094166,0.38710400145365387,0.34823294281090844,0.4199148135275438,0.336972157854135,0.4214014589809292
Left Combined Y Gyro,0.297816022253193,0.3819602300812566,0.35955204713394384,0.42191574461117776,0.3454893998138159,0.41282713953557904
Left Combined Z Gyro,0.3356015792145791,0.3880756913148917,0.3481193597582647,0.4337480887702784,0.36315397472871036,0.43294931444106133
Right TimeFeats X Accel,0.2977224502570125,0.39308364930484746,0.33285521303954485,0.4217086078837231,0.3168056698010615,0.4325196315979726
Right TimeFeats Y Accel,0.2890624203988259,0.3576748876288046,0.31465453907850216,0.38718243741285213,0.324361628048264,0.3903261087592885
Right TimeFeats Z Accel,0.43720787177008374,0.48684504629205094,0.4240246323195631,0.5199933817445338,0.42325308546506707,0.5234132496805308
Right TimeFeats X Gyro,0.26832504758772036,0.2799072075569771,0.2543714322516166,0.3235343613223797,0.2999832566652843,0.33120077083210725
Right TimeFeats Y Gyro,0.25393014425272487,0.27560547837045535,0.2463740491390261,0.3076500463597238,0.27687410913217364,0.31592253112990437
Right TimeFeats Z Gyro,0.22839426249564498,0.2772595251857925,0.23881777153666556,0.2974462080452864,0.2836577753628445,0.30809093896651507
Right FreqFeats X Accel,0.24295393788481348,0.3330202892414874,0.30764936202724225,0.3336276723373498,0.3468093606342454,0.3488501921681645
Right FreqFeats Y Accel,0.24295395309220194,0.33439958416916943,0.30434102507835226,0.3339028652392708,0.3565162062857915,0.35282043070061503
Right FreqFeats Z Accel,0.38155649445972023,0.3439416425591541,0.31923244964719616,0.3476922407797984,0.3592754956810256,0.398709865990972
Right FreqFeats X Gyro,0.24074809097850572,0.22469733114894405,0.20318746862525666,0.21995499829601214,0.262147623898776,0.26065862287060443
Right FreqFeats Y Gyro,0.22552529741469834,0.20092657097265393,0.19243277307793435,0.2052841264822832,0.24471942444292671,0.24185137180528887
Right FreqFeats Z Gyro,0.18421511094322154,0.17362558284217272,0.16943334685270167,0.17847953792654253,0.21863128637322188,0.22265687979973695
Right FFTs X Accel,0.377419841475141,0.4958355327018921,0.43428311078080667,0.5163529458460334,0.42976152837903997,0.5230812419752512
Right FFTs Y Accel,0.3797912816345996,0.49495374748830967,0.43571804954293436,0.5162426770721702,0.448623054613838,0.5237993804814082
Right FFTs Z Accel,0.46472883477491767,0.542000282553278,0.47719404217100064,0.5675359057847537,0.4876719176258347,0.5697972292442339
Right FFTs X Gyro,0.33136628804831575,0.38679551582777394,0.36076280868907595,0.4367107574480847,0.3479678138664314,0.42744440901122926
Right FFTs Y Gyro,0.31619883417118444,0.35993589173312673,0.3255196402661841,0.41304993148311125,0.3539800396943254,0.38707186449121933
Right FFTs Z Gyro,0.2999292704361829,0.31901166878125403,0.31129020852523154,0.38365252881381917,0.33638550182328986,0.32904947282827474
Right PSDLogs X Accel,0.392311266043985,0.4254593277634752,0.3802328889886494,0.47002348477002853,0.41178163528393946,0.4694171205691943
Right PSDLogs Y Accel,0.3994260123292382,0.42678343507836597,0.3762063527040485,0.4659972070110319,0.4176824821986112,0.4753192296971099
Right PSDLogs Z Accel,0.5378081530155263,0.5207095128754116,0.45077506736492917,0.5491690302750211,0.4891618158899266,0.5619660780951105
Right PSDLogs X Gyro,0.30423034570500007,0.37521341668807107,0.33621952838542707,0.41591777121731033,0.3302633417840791,0.3892781980339584
Right PSDLogs Y Gyro,0.2892832773017105,0.33881197752165493,0.30174786119486574,0.3842034620836464,0.3262916281349461,0.3551926008147207
Right PSDLogs Z Gyro,0.2292755458654076,0.23484655973135235,0.22420179839534676,0.273840371997054,0.2556948096118603,0.2774806406142812
Right AllFeats X Accel,0.28966939289519933,0.4040039533127091,0.34802274295361857,0.4345600221176259,0.35127751948028446,0.42573430776195753
Right AllFeats Y Accel,0.27615642684767105,0.36809879206192575,0.3234785654140493,0.3979372242045053,0.33610935085589466,0.3862448106687738
Right AllFeats Z Accel,0.44316372380888513,0.5066458872910486,0.44487301906656745,0.5424963627728605,0.4598752902900369,0.5450331984894197
Right AllFeats X Gyro,0.2489659964314342,0.2775903771295476,0.25988654375751147,0.32165964009281983,0.2851472934422243,0.3332421042098462
Right AllFeats Y Gyro,0.23859726440371604,0.26683549909356363,0.23721801509819945,0.2959021714782083,0.255143146387386,0.3025759795345048
Right AllFeats Z Gyro,0.23302699569980673,0.28823530574682643,0.24857947023845642,0.31564732302059495,0.290661827067357,0.32535419908691793
Right Combined X Accel,0.37543360446586255,0.4999725202490179,0.44117747159221815,0.5342226614116015,0.43979855684924807,0.528542093519052
Right Combined Y Accel,0.3793497351101038,0.4909823836091117,0.44084782103215286,0.5208756231797707,0.44310864264781313,0.5276597152173189
Right Combined Z Accel,0.49859359029865935,0.5172913633743127,0.4586070853351959,0.5431579754160399,0.4762572518332887,0.5495001711591574
Right Combined X Gyro,0.303237865910677,0.38409418179003435,0.34675429468056196,0.42237002283085234,0.3118414155280515,0.4222053116062332
Right Combined Y Gyro,0.2954050267414323,0.3530421696320314,0.31785282015696764,0.3915948003505607,0.3219351219351219,0.3939110833120049
Right Combined Z Gyro,0.2884559041241069,0.3165853147419968,0.2935855843689945,0.3652309219129496,0.303733991752425,0.381060231751476
Synthesis TimeFeats X Accel,0.20654946226130283,0.29892708397269896,0.29652400633407316,0.3684476288691674,0.3188770561022148,0.35425186140318243
Synthesis TimeFeats Y Accel,0.38778379438720156,0.453056858755135,0.3816917860240259,0.48820790366011535,0.37884246827692314,0.4778692269091594
Synthesis TimeFeats Z Accel,0.46032133286041754,0.5324688095000477,0.4683133445190104,0.5688503413568154,0.4865307392932908,0.5672851587055787
Synthesis TimeFeats X Gyro,0.27232569468099344,0.3164748843128923,0.26712821250474983,0.35855577009607154,0.31491007649585,0.3525205022590788
Synthesis TimeFeats Y Gyro,0.28255278016864727,0.3392198857036833,0.29630035526472587,0.3735888078257883,0.3201634870575219,0.37241549870674395
Synthesis TimeFeats Z Gyro,0.2899860389880664,0.3982342029642825,0.3278747322863902,0.4232704564590256,0.31295434785019316,0.38688989292392695
Synthesis FreqFeats X Accel,0.2123055723319888,0.3304459230612209,0.3053533975830379,0.33849356636150474,0.323235987331229,0.3361460110379299
Synthesis FreqFeats Y Accel,0.47351126400181415,0.5735448428983991,0.5103954641314131,0.6054539780918785,0.41270772256834515,0.6066834186315397
Synthesis FreqFeats Z Accel,0.39745162725675565,0.422488567947522,0.37152111308263486,0.444618638224248,0.3791222976211616,0.45540427351588697
Synthesis FreqFeats X Gyro,0.23069209541841723,0.2558959935066223,0.24326622083262855,0.28283171928167394,0.2750092420056066,0.2996534189329688
Synthesis FreqFeats Y Gyro,0.2250483575156052,0.2569011894894618,0.2347713534841073,0.28355905379979573,0.2683023806188231,0.2957970310320544
Synthesis FreqFeats Z Gyro,0.1962111447264499,0.2142060910244234,0.1971046245012558,0.24293035377632174,0.23700680214736264,0.2598080755215935
Synthesis FFTs X Accel,0.3386054075142698,0.4869231750767747,0.4251141409167289,0.5077117137716114,0.4370744909556413,0.5072644116329168
Synthesis FFTs Y Accel,0.46797797724162954,0.5374429373506813,0.4758576011142571,0.5631499722544606,0.4328837821894721,0.5561087431481482
Synthesis FFTs Z Accel,0.5108976950976841,0.5873479715457115,0.5296190075921106,0.6161282095373124,0.5157047718423303,0.6036662220196035
Synthesis FFTs X Gyro,0.349558484364182,0.4149997399587776,0.3847103257918255,0.4659111727296879,0.3678887198490793,0.4606010060237417
Synthesis FFTs Y Gyro,0.3183749188444923,0.384765473272682,0.35648921547359286,0.4362917278310173,0.35408496647810944,0.4165646258662769
Synthesis FFTs Z Gyro,0.3094336552065797,0.33854940103838443,0.3264778345703642,0.4015313382470973,0.34156762844435534,0.3759919323186884
