YYYY-MO-DD HH-MI-SS_SSS,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s)
1559244477.9051366,-0.4466080665588378,-1.5355896949768066,-9.854424476623535,0.03236530934275971,-0.007725053220236161,-0.003063383227350408
1559244477.9151301,-0.4012307822704315,-1.4973772764205933,-9.809047698974608,0.033564023116539596,-0.004128907737707305,-0.005460813375653428
1559244477.9251335,-0.40600731968879694,-1.5236483812332153,-9.849648475646974,0.027304067398415795,-0.006259956758421103,-0.004528479689165468
1559244477.9351506,-0.41556045413017273,-1.5451428890228271,-9.844871520996094,0.03542869361040742,-0.007325481268778002,-0.005594004199522367
1559244477.945151,-0.39167764782905573,-1.5045421123504639,-9.820988655090332,0.03396359506799776,-0.003063383227350408,-0.001997858586956347
1559244477.9551399,-0.3988424837589264,-1.506930351257324,-9.875919342041016,0.03369721446055718,-0.007458672092646939,-0.0034629549187342444
1559244477.9651353,-0.3510769307613373,-1.5332014560699463,-9.880696296691895,0.03209892873531914,-0.005194432248064204,-0.003063383227350408
1559244477.975149,-0.4131721556186676,-1.4926006793975832,-9.871142387390137,0.03236530934275971,-0.0037293360463234696,-0.004528479689165468
1559244477.9851396,-0.4012307822704315,-1.5212600231170652,-9.832930564880371,0.03809250384600237,-0.0031965737911450205,-0.0037293360463234696
1559244477.995167,-0.37018314003944397,-1.4782710075378416,-9.866366386413574,0.03023426032204592,-0.0027970020997611835,-0.0002663811438438699
1559244478.005154,-0.4083956182003021,-1.5212600231170652,-9.849648475646974,0.031965737391301555,-0.004928051120474981,0.0021310491507509598
1559244478.0151443,-0.44183149933815,-1.5332014560699463,-9.820988655090332,0.03343083385311661,-0.004928051120474981,-0.0006659528839916427
1559244478.025131,-0.39167764782905573,-1.540366291999817,-9.832930564880371,0.0324984986061827,0.0027970020997611835,0.002663811535966571
1559244478.035136,-0.4322783946990967,-1.5117069482803345,-9.809047698974608,0.03129978483240282,-0.007991434347825389,-0.0003995717238931276
1559244478.0451343,-0.458549439907074,-1.5236483812332153,-9.868754386901855,0.03023426032204592,-0.0025306209721719587,-0.001731477459367122
1559244478.0551527,-0.4633260071277618,-1.5451428890228271,-9.856813430786131,0.03303126190165844,-0.005194432248064204,-0.0034629549187342444
1559244478.065149,-0.4012307822704315,-1.5140951871871948,-9.868754386901855,0.03516231092237225,-0.003063383227350408,-0.002663811535966571
1559244478.0751388,-0.43466666340827936,-1.5355896949768066,-9.914132118225096,0.033564023116539596,-0.0014650963317778978,-0.0046616699928857565
1559244478.0851314,-0.41794872283935547,-1.4926006793975832,-9.84248352050781,0.03636102469615213,0.0005327622876877398,-0.0011987152041886733
